Product,Sku,Outlet,Count,Value,Avg. Item Value,Reorder point
Cantina Burgundy Decanter,10663,Blackmarket,0.00000,0.00000,40.00000,0.00000
Cantina Burgundy Decanter,10663,Head Office,0.00000,0.00000,40.00000,0.00000
Cantina Burgundy Decanter,10663,Parnell,0.00000,0.00000,40.00000,0.00000
Cantina Burgundy Decanter,10663,Penrose,0.00000,0.00000,40.00000,0.00000
Cantina Burgundy Decanter,10663,Ponsonby,0.00000,0.00000,40.00000,0.00000
Escaravailles Cotes du Rhone Sablieres,12486,Blackmarket,-69.00000,-683.78998,9.91000,0.00000
Escaravailles Cotes du Rhone Sablieres,12486,Head Office,-24.00000,-237.84000,9.91000,0.00000
Escaravailles Cotes du Rhone Sablieres,12486,Parnell,-29.00000,-287.39001,9.91000,0.00000
Escaravailles Cotes du Rhone Sablieres,12486,Penrose,158.00000,1565.78003,9.91000,0.00000
Escaravailles Cotes du Rhone Sablieres,12486,Ponsonby,-12.00000,-118.92000,9.91000,0.00000
Yellow Tail Cabernet Merlot,14267,Blackmarket,-12.00000,-97.56000,8.13000,0.00000
Yellow Tail Cabernet Merlot,14267,Head Office,0.00000,0.00000,8.13000,0.00000
Yellow Tail Cabernet Merlot,14267,Parnell,0.00000,0.00000,8.13000,0.00000
Yellow Tail Cabernet Merlot,14267,Penrose,6.00000,48.78000,8.13000,0.00000
Yellow Tail Cabernet Merlot,14267,Ponsonby,0.00000,0.00000,8.13000,0.00000
Dom Sainte-Anne St Gervais Mourillons,14284,Blackmarket,0.00000,0.00000,17.65000,0.00000
Dom Sainte-Anne St Gervais Mourillons,14284,Head Office,0.00000,0.00000,17.65000,0.00000
Dom Sainte-Anne St Gervais Mourillons,14284,Parnell,0.00000,0.00000,17.65000,0.00000
Dom Sainte-Anne St Gervais Mourillons,14284,Penrose,-3.00000,-52.95000,17.65000,0.00000
Dom Sainte-Anne St Gervais Mourillons,14284,Ponsonby,0.00000,0.00000,17.65000,0.00000
Knebel Rottgen Riesling Trocken,12517,Blackmarket,0.00000,0.00000,27.81000,0.00000
Knebel Rottgen Riesling Trocken,12517,Head Office,0.00000,0.00000,27.81000,0.00000
Knebel Rottgen Riesling Trocken,12517,Parnell,-5.00000,-139.05000,27.81000,0.00000
Knebel Rottgen Riesling Trocken,12517,Penrose,15.00000,417.14999,27.81000,0.00000
Knebel Rottgen Riesling Trocken,12517,Ponsonby,0.00000,0.00000,27.81000,0.00000
Stein Palmberg Terrassen Trocken,12523,Blackmarket,0.00000,0.00000,21.75000,0.00000
Stein Palmberg Terrassen Trocken,12523,Head Office,0.00000,0.00000,21.75000,0.00000
Stein Palmberg Terrassen Trocken,12523,Parnell,0.00000,0.00000,21.75000,0.00000
Stein Palmberg Terrassen Trocken,12523,Penrose,0.00000,0.00000,21.75000,0.00000
Stein Palmberg Terrassen Trocken,12523,Ponsonby,0.00000,0.00000,21.75000,0.00000
Firstland Chardonnay 2002,10720,Blackmarket,0.00000,0.00000,9.15000,0.00000
Firstland Chardonnay 2002,10720,Head Office,0.00000,0.00000,9.15000,0.00000
Firstland Chardonnay 2002,10720,Parnell,0.00000,0.00000,9.15000,0.00000
Firstland Chardonnay 2002,10720,Penrose,0.00000,0.00000,9.15000,0.00000
Firstland Chardonnay 2002,10720,Ponsonby,0.00000,0.00000,9.15000,0.00000
Gogrewe O A Knieberg Trocken 2006,12540,Blackmarket,0.00000,0.00000,23.77000,0.00000
Gogrewe O A Knieberg Trocken 2006,12540,Head Office,0.00000,0.00000,23.77000,0.00000
Gogrewe O A Knieberg Trocken 2006,12540,Parnell,0.00000,0.00000,23.77000,0.00000
Gogrewe O A Knieberg Trocken 2006,12540,Penrose,0.00000,0.00000,23.77000,0.00000
Gogrewe O A Knieberg Trocken 2006,12540,Ponsonby,0.00000,0.00000,23.77000,0.00000
"Ch La Tour Blanche, Sauternes 2009 750ml",13522,Blackmarket,0.00000,0.00000,69.10000,0.00000
"Ch La Tour Blanche, Sauternes 2009 750ml",13522,Head Office,0.00000,0.00000,69.10000,0.00000
"Ch La Tour Blanche, Sauternes 2009 750ml",13522,Parnell,0.00000,0.00000,69.10000,0.00000
"Ch La Tour Blanche, Sauternes 2009 750ml",13522,Penrose,0.00000,0.00000,69.10000,0.00000
"Ch La Tour Blanche, Sauternes 2009 750ml",13522,Ponsonby,0.00000,0.00000,69.10000,0.00000
Wyndham Bin 444 Cab Sauv 1500,10063,Blackmarket,0.00000,0.00000,10.79000,0.00000
